bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content
chr1	0	1091337	1091338	24	50	1033648	0.473217136842071
chr1	1091338	1455237	363900	28	54	1371964	0.599480626545733
chr1	1455238	1876561	421324	13	41	1818992	0.538886937368837
chr1	1876562	2211809	335248	6	29	2156893	0.567755810623931
chr1	2211810	2530819	319010	12	43	2473328	0.607021723457076
chr1	2530820	2941980	411161	1	16	2889533	0.572753882866161
chr1	2941981	3251512	309532	3	23	3199251	0.570606593179179
chr1	3251513	3562165	310653	5	24	3509428	0.593053986280396
chr1	3562166	4039451	477286	9	16	3836805	0.527504118559973
chr1	4039452	4372508	333057	0	2	4320243	0.479314351597359
chr1	4372509	4689379	316871	1	0	4634873	0.478424974200861
chr1	4689380	5009809	320430	1	4	4957105	0.484704927753271
chr1	5009810	5333263	323454	0	0	5280904	0.432333500281512
chr1	5333264	5646410	313147	0	0	5593695	0.474115990253757
chr1	5646411	5968690	322280	1	4	5916939	0.501849323569674
chr1	5968691	6292611	323921	5	13	6234130	0.535068735895544
chr1	6292612	6646101	353490	11	23	6584379	0.551478118192698
chr1	6646102	6983037	336936	5	7	6930938	0.462049172542972
chr1	6983038	7301990	318953	0	2	7248119	0.472931748564682
chr1	7301991	7622683	320693	0	0	7569546	0.494513444322141
chr1	7622684	7952694	330011	3	7	7895829	0.476953798509771
chr1	7952695	8306736	354042	3	6	8246644	0.453177871551938
chr1	8306737	8643094	336358	2	8	8588872	0.448644004305131
chr1	8643095	8997861	354767	1	4	8932603	0.431314073744285
chr1	8997862	9344867	347006	6	8	9291637	0.496596600635114
chr1	9344868	9694966	350099	3	8	9637133	0.513223402523214
chr1	9694967	10063072	368106	7	11	9995513	0.490508168842537
chr1	10063073	10425794	362722	2	3	10368430	0.434109317879916
chr1	10425795	10763531	337737	7	15	10713330	0.490911567284633
chr1	10763532	11100662	337131	3	4	11035651	0.518225852858291
chr1	11100663	11454252	353590	5	4	11397167	0.476693345399953
chr1	11454253	11784383	330131	6	11	11726876	0.517839887802095
chr1	11784384	12134033	349650	11	10	12074814	0.518063778063894
chr1	12134034	12470855	336822	2	4	12414426	0.462840907066666
chr1	12470856	12804212	333357	5	3	12745451	0.464700006299339
chr1	12804213	14004077	1199865	28	4	13942335	0.461527761792286
chr1	14004078	14330017	325940	1	3	14274364	0.432708473952376
chr1	14330018	14650805	320788	0	0	14596380	0.421434093544632
chr1	14650806	14980605	329800	1	1	14927650	0.437559126743319
